Date,DIS,WMT,WBA,VZ,UNH,TRV,PG,NKE,MSFT,MRK,MMM,MCD,JPM,KO,JNJ,INTC,IBM,HON,HD,GS,CSCO,CVX,CAT,BA,AAPL,AMGN,AXP
2018-05-14,0.0010140985000000001,0.00048527122000000005,0.0006203353400000001,3.5464764e-05,0.0016648471,0.0003643036,0.0002558455,-0.0005230605599999999,0.0012165904,-0.00034168363,0.0007761642299999999,0.0009568184599999999,0.0008278191000000001,0.00030952692000000003,0.0004734397,0.0011353195,-0.00021878630000000002,0.00041815638999999995,0.00067698956,0.00058048964,0.0006604045599999999,0.0006689578299999999,0.000838086,0.00085134804,0.0007139295299999999,-1.5169382e-05,0.00034582615
2018-05-15,0.0010141134,0.00049701333,0.0006259977999999999,5.5491924e-05,0.0016535967999999999,0.00034026802000000004,0.00025439262,-0.0005156844999999999,0.0011906922,-0.00029677153,0.0007761642299999999,0.00095663965,0.0008326173,0.00026290119999999997,0.00047513843,0.001061365,-0.00021073967,0.00043101610000000003,0.0007096082000000001,0.0005717575599999999,0.0007266550999999999,0.0006456673,0.0008004010000000001,0.0008630156500000001,0.000708729,-1.3470650000000001e-05,0.00033512712
2018-05-16,0.0010141134,0.0005024746,0.0006303787,8.003414000000001e-05,0.0016557127,0.0003132224,0.00025217235,-0.00052317977,0.0011877269,-0.0003003776,0.00077617913,0.0009588599,0.0008395910000000001,0.0002251491,0.00047801435,0.0009905994000000001,-0.00020082295,0.00044690073,0.00071032345,0.0005608797,0.00077828765,0.0006351471,0.00077803433,0.0008730888400000001,0.0007247627,-1.2718141e-05,0.0003270954
2018-05-17,0.0010141134,0.0005016326999999999,0.00063204765,0.00010703503999999998,0.0016572028,0.00028392673,0.00024957209999999997,-0.00051036477,0.0011906922,-0.00033849478,0.00077617913,0.0009632259599999999,0.000841707,0.00020028651,0.00047758222000000004,0.00092698634,-0.00019205362000000002,0.00046485662000000005,0.0006944835,0.0005454123,0.0008109510000000001,0.0006337464,0.000762105,0.0008831024,0.0007552057499999999,-1.3686717e-05,0.00031580029999999997
2018-05-18,0.0010141134,0.0004977435,0.0006290674,0.00013387203,0.0016661732999999998,0.00026524067,0.00024808943,-0.0004909336599999999,0.0012029558,-0.0002361238,0.00077617913,0.0009665041999999999,0.0008394569,0.00018814206,0.00048039854000000006,0.00086796284,-0.00018402933999999997,0.000483796,0.0007023066000000001,0.0005257726,0.00083485246,0.0006427914,0.0007483511999999999,0.0008881837,0.00077198446,-1.398474e-05,0.00030344724999999996
2018-05-21,0.0010141134,0.0004924461,0.0006255358499999999,0.00016018748,0.0016776025,0.00026586652,0.00024835765,-0.00048184394999999997,0.0012326539,-5.081295999999999e-05,0.00077617913,0.00097596645,0.0008533746,0.00018425286,0.00049097836,0.00081574917,-0.00017614663,0.00050601363,0.0007276535,0.0005211681,0.00086164474,0.0006606280999999999,0.00074212253,0.00089508295,0.0007596164999999999,-1.2271106e-05,0.00030362606
2018-05-22,0.0010141134,0.00048793851999999997,0.0006247609999999999,0.00018638372,0.0017011017,0.00028276443,0.0002497211,-0.00046908855,0.0012567639,8.666515e-05,0.00077617913,0.0009758919500000001,0.0008930415,0.00018001348,0.0004969686,0.0007620900999999999,-0.00016690046000000002,0.00053061545,0.000745818,0.0005417615,0.0008852631,0.0006867945,0.0007393807000000001,0.0009050518,0.0006827265,-7.227063e-06,0.00032171607000000004
2018-05-23,0.0010141134,0.00048483163,0.00062671304,0.00021225214,0.0017511547,0.00031225382999999996,0.00025241822,-0.0004684925,0.001255706,6.0886144999999996e-05,0.0007761866,0.0009780227999999999,0.0009550899000000001,0.00018337368999999997,0.0004962533999999999,0.0007140338400000001,-0.00015570968000000002,0.000557214,0.00076292455,0.00059355795,0.00089520216,0.00074240565,0.0007489025599999999,0.00092595816,0.00060117245,2.6077032e-06,0.00035645068
2018-05-24,0.0010141134,0.00048151612,0.00062924623,0.0002374053,0.0018114000000000001,0.00034962595,0.000256069,-0.00048591197,0.0012425631,0.00016066432,0.0007761866,0.0009825677,0.0010278374000000001,0.00019767880000000002,0.0004899055000000001,0.0006740987299999999,-0.0001436472,0.0005759299,0.0007680505499999999,0.00066672266,0.0008941144,0.0008150041000000001,0.00077195466,0.0009339899000000001,0.0005251765,1.4588237e-05,0.00039942562999999994
2018-05-25,0.0010141134,0.0004773289,0.0006306320400000001,0.00026015937,0.0018652826999999998,0.00038540362999999996,0.0002610013,-0.0004891902,0.0012003034,0.00020650028999999998,0.0007761866,0.0009784847,0.0011062026,0.0002220422,0.00048571825,0.0006400198000000001,-0.0001309067,0.0005829036000000001,0.0007787496000000001,0.00074744225,0.0008887052499999999,0.00089494884,0.0008033663,0.0009402334699999999,0.00045864284000000005,2.8319657e-05,0.00044660269999999996
2018-05-29,0.0010141134,0.00047298519999999995,0.00062929094,0.00027814507000000003,0.0018751323000000002,0.0004079193,0.00026623905,-0.00048014522000000006,0.0011194944,2.6673078999999996e-05,0.0007762015,0.000984028,0.0011749119,0.0002502203,0.00048193335999999995,0.0006007701000000001,-0.00012040883,0.0005776733,0.00076803565,0.0008163899,0.0008716434,0.0009555220599999999,0.00082856417,0.00094643235,0.00041045248999999995,3.9465725e-05,0.0004930049
2018-05-30,0.0010141134,0.0004671812,0.0006257593599999999,0.0002886504,0.0018410087,0.00041474402,0.00027024746,-0.0005046426999999999,0.0010486245,-0.00026082993,0.0007762015,0.00099352,0.0012236089,0.00027824193,0.00048190355,0.0005556494,-0.00011666118999999999,0.0005644858,0.0007298589,0.0008591711500000001,0.0008458197000000001,0.0009865463000000001,0.0008434057000000001,0.0009559392999999999,0.0003709793,4.3168664e-05,0.00053067505
2018-05-31,0.0010141134,0.00046045333,0.0006201863,0.00029170513,0.0017864853,0.00040870905,0.0002700463,-0.0005031526,0.0010151416,-0.00016716122999999998,0.0007762015,0.0010009259,0.0012501775999999999,0.00029177964,0.00048574805,0.0005044639,-0.00011959671999999998,0.0005493462,0.0007132142999999999,0.0008816272,0.0008184164999999999,0.0009922236,0.0008569211,0.00096707046,0.00034499168,3.9368868e-05,0.0005597025
